TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
976,7910,7910,8121,14128,18383,19951,21647,22159,13136,18943,20191,21775,22703,node0
977,7987,7987,7780,13192,18831,20463,21599,22175,13624,18575,19711,21807,22287,node0
978,7512,7512,7174,13688,18767,19871,21487,22063,13632,18927,20175,22255,22319,node0
979,7414,7414,7469,13696,18815,19855,21935,21935,13712,19039,20223,22767,22847,node0
980,7373,7373,7456,13224,18335,20255,21471,21967,12760,18687,19807,22399,22911,node0
981,7841,7841,8200,13232,18415,19887,21935,21999,13240,18783,20207,21999,22399,node0
982,8098,8098,8150,13792,18927,20463,21567,22047,13920,19311,19983,22479,23023,node0
983,7865,7865,7855,13272,19023,20127,21631,22063,13464,19247,20511,22175,22607,node0
984,8200,8200,8195,13808,19103,20191,22207,22239,13616,19007,20159,22767,22815,node0
985,8377,8377,8400,13864,19135,20271,22303,22335,13728,19087,20623,22367,22911,node0
986,8223,8223,8200,13840,19647,20319,21855,22319,13792,19583,20735,22431,22463,node0
987,7895,7895,7702,13888,19279,20719,22367,22415,13400,19327,20207,22543,22959,node0
988,7404,7404,7529,13416,19279,20319,22495,22527,13448,19311,20367,22575,22639,node0
989,7799,7799,8149,13416,19231,20847,21471,22527,13016,19295,20095,22175,22207,node0
990,8102,8102,7628,13448,19231,20335,22447,22543,12608,19375,20159,22767,23279,node0
991,7759,7759,7769,12952,19151,20287,21983,22463,13088,18927,20591,22767,23279,node0
992,7841,7841,7884,13472,18687,20831,21903,22431,13720,19167,20719,22751,23295,node0
993,7933,7933,7653,13016,18719,20239,21887,22399,12720,19503,20671,22431,22895,node0
994,7540,7540,7594,13504,18687,20783,22399,22431,13336,19295,20271,22927,22959,node0
995,7559,7559,7499,13496,19215,19839,21903,22415,13400,19775,20367,22527,22575,node0
