TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
3076,12488,12488,12195,11064,14159,22447,26703,27343,10488,14095,22479,26543,27807,node2
3077,12505,12505,12496,10632,14231,22383,26095,27391,10872,14039,22511,26607,27215,node2
3078,12025,12025,12304,11168,14471,23071,26751,27023,11056,14103,23103,26543,27215,node2
3079,12744,12744,12404,11272,14535,22575,26447,27087,10520,14423,22511,26879,27551,node2
3080,12145,12145,12400,10760,14607,22735,26319,27695,10968,14711,22895,26543,28175,node2
3081,12555,12555,12411,11056,14431,22607,26847,26975,10960,14783,22911,26319,26991,node2
3082,12051,12051,12185,10648,14399,21999,25839,26431,10240,14167,22335,26655,27279,node2
3083,12349,12349,12400,10384,14255,22527,25823,27071,10424,14079,22607,26543,27919,node2
3084,12737,12737,12514,10824,14423,22511,26399,27023,10720,14263,22671,27135,27775,node2
3085,11907,11907,12092,10784,14351,23103,26351,27647,9928,13951,23855,27007,28399,node2
3086,12328,12328,11996,9992,14023,22463,26959,27471,9544,14095,23263,27583,28127,node2
3087,11659,11659,11998,10408,13951,22223,25519,28063,10280,14223,22367,25775,28735,node2
3088,12561,12561,12207,10344,13807,22239,26655,27263,10328,13863,23183,26927,27551,node2
3089,12016,12016,12193,10344,13975,22143,25999,26623,9944,13751,22479,26175,26815,node2
3090,12058,12058,12400,10376,13535,22143,25935,27199,10328,13631,21743,26015,27391,node2
3091,12810,12810,12122,10768,13695,22127,26559,27199,10056,13583,22319,26623,27279,node2
3092,11573,11573,12078,10344,13791,22511,25919,26543,10432,13519,23151,26239,26559,node2
3093,12272,12272,12013,10400,13799,21903,25887,26495,10152,13607,22527,26207,26847,node2
3094,12076,12076,12187,10296,13719,22319,25871,26527,10120,13839,22655,26191,27439,node2
3095,12147,12147,12000,10264,13647,22383,25631,26255,10072,13751,23135,26543,27151,node2
3096,11841,11841,12010,10320,13391,22127,26223,26783,10248,13607,22383,26351,27711,node2
3097,12034,12034,12190,10480,13583,21583,26239,26815,10416,13663,21855,27119,27679,node2
3098,12447,12449,12173,10352,13479,21535,25423,25951,10144,13759,22511,26223,26799,node2
3099,11961,11959,12055,10288,13431,22047,25823,26479,9704,13559,22079,26143,27343,node2
3100,12092,12092,12376,10088,13663,22527,25743,26479,9928,13439,22287,26575,27215,node2
3101,12272,12272,12196,10240,13615,22511,25727,26319,10136,13351,22527,26335,26447,node2
3102,12844,12844,12340,10056,13535,22495,25711,26287,9760,13479,22751,25647,27023,node2
3103,11645,11645,12060,10216,13375,23087,25599,26223,9832,13495,22591,26255,26895,node2
3104,12315,12315,12403,10368,13431,22479,25615,26207,10224,13623,21823,26047,26655,node2
3105,12449,12449,12409,10360,13559,21423,25663,26239,10352,13399,22111,25951,26175,node2
3106,12329,12329,12188,10392,13615,21871,26319,26879,9968,13655,22303,26095,26735,node2
3107,12236,12236,12004,10624,13775,22207,25839,26943,10144,13871,22079,26015,27343,node2
3108,12043,12043,12406,10584,13551,22207,25871,25935,10192,13615,21903,25279,26655,node2
3109,12130,12130,12190,10712,13727,22159,25935,25967,10624,13791,22223,26063,26527,node2
3110,12284,12284,12200,10752,13911,22271,25967,26607,10592,13823,21535,26335,27183,node2
3111,12625,12625,12408,10832,14167,21679,26703,26735,10400,14079,22095,26991,27135,node2
3112,11922,11922,11993,10816,13967,21807,26079,26127,10960,14215,22367,26495,27183,node2
3113,12271,12271,12399,10880,14103,21903,26735,26783,10608,14199,22671,26223,27087,node2
3114,12608,12608,12420,10856,14359,21871,26751,26831,10880,13927,22591,26671,26959,node2
3115,11951,11951,11980,10888,14215,22463,26223,26767,10976,14167,23183,26575,27215,node2
3116,12087,12087,12400,10808,14439,22015,26783,26879,10368,14095,22495,27007,27839,node2
3117,12214,12214,12400,10800,14287,22159,26943,27391,10808,13975,22383,27103,27759,node2
3118,12679,12679,12000,10824,14063,22207,26351,26415,10928,13999,22671,26415,27087,node2
3119,12222,12222,12520,10824,14415,22847,26415,26975,10576,14159,23311,27023,27663,node2
3120,12025,12025,12122,11200,14375,22239,27007,27663,10336,14495,22527,26911,27663,node2
3121,12450,12450,12369,10712,13999,22255,26431,27151,10560,14279,22783,26511,26799,node2
3122,11982,11982,12260,10520,13999,22239,27007,27167,10272,13615,22655,26847,27375,node2
3123,12185,12185,12329,10648,14087,22911,27071,27231,10448,14191,22927,27231,27439,node2
3124,12805,12805,12405,10720,13999,22831,26655,27247,10440,13879,23519,27423,27551,node2
