time: 237s; Messages sent: 6140; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 238s; Messages sent: 4742; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 239s; Messages sent: 8122; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 240s; Messages sent: 5136; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 241s; Messages sent: 6163; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 242s; Messages sent: 6242; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 243s; Messages sent: 3615; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 244s; Messages sent: 7527; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 245s; Messages sent: 7521; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 246s; Messages sent: 5646; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 247s; Messages sent: 7745; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 248s; Messages sent: 4284; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 249s; Messages sent: 8809; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 250s; Messages sent: 6322; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
