TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2096,9736,9736,10276,12072,15527,16767,17999,18367,12096,15879,17023,18735,19151,node1
2097,11168,11168,10294,11992,15919,16735,17135,18351,12424,16287,17327,17407,17423,node1
2098,9975,9975,10587,12000,15783,16719,17983,18703,12120,15823,17055,18223,18799,node1
2099,10508,10508,9780,12144,15807,16703,18383,18799,12488,16095,17087,18639,19071,node1
2100,9349,9349,10154,12176,15847,16815,17871,17983,11920,16207,17199,17807,17951,node1
2101,10287,10287,10350,12160,15039,17583,18335,18351,12288,16135,18175,18351,18367,node1
2102,10818,10818,9474,11728,15887,17071,17903,18687,12496,16279,17471,18191,18975,node1
2103,10069,10069,10835,12136,16231,17231,17855,17887,12200,16207,17231,18303,18847,node1
2104,9899,9899,9958,12168,16367,17055,18063,18079,13248,16375,17343,18335,18335,node1
2105,10481,10481,10065,12152,15967,16927,17887,18031,12600,16199,17039,17903,18175,node1
2106,9957,9957,10503,11728,16047,16847,18255,18767,11880,16031,17119,18575,19135,node1
2107,10643,10643,9780,12072,16151,16831,17535,17919,12480,16271,17103,17951,18127,node1
2108,9475,9475,10236,12096,15071,16591,18319,18335,12344,15271,17295,18399,18415,node1
2109,10028,10028,9808,12112,15743,17359,18031,18719,12160,15895,17439,18415,19023,node1
2110,10135,10135,10463,12096,15847,17135,18143,18287,12768,16095,16991,18623,18879,node1
2111,10495,10495,10062,12464,14975,16831,18639,18687,13152,16127,17151,19247,19295,node1
2112,9940,9940,10420,11968,15879,16703,17631,18191,12376,16175,17055,17903,18479,node1
2113,9646,9646,9796,11568,15831,16863,17887,18623,12096,15823,16655,18383,18799,node1
